Folder,VGG19 Accuracy,ResNet50 Accuracy,MobileNetV3 Accuracy,InceptionV3 Accuracy
eel,0.54,0.58,0.58,0.66
"gar, garfish, garpike, billfish, lepisosteus osseus",0.44,0.56,0.66,0.7
oil filter,0.52,0.62,0.6,0.62
"patas, hussar monkey, erythrocebus patas",0.54,0.58,0.6,0.64
"pop bottle, soda bottle",0.56,0.62,0.56,0.62
"red fox, vulpes vulpes",0.56,0.56,0.64,0.6
"rock crab, cancer irroratus",0.52,0.6,0.58,0.66
sandal,0.48,0.66,0.6,0.62
"silky terrier, sydney silky",0.48,0.56,0.66,0.66
wall clock,0.48,0.62,0.6,0.66
water snake,0.54,0.56,0.66,0.6
broom,0.6,0.48,0.6,0.7
"carpenter's kit, tool kit",0.48,0.54,0.7,0.66
espresso maker,0.36,0.66,0.58,0.78
"african crocodile, nile crocodile, crocodylus niloticus",0.6,0.46,0.68,0.64
"bikini, two-piece",0.54,0.64,0.6,0.6
"clog, geta, patten, sabot",0.56,0.54,0.62,0.66
cocktail shaker,0.58,0.52,0.6,0.68
"cowboy hat, ten-gallon hat",0.54,0.62,0.54,0.68
"doormat, welcome mat",0.5,0.58,0.62,0.68
goblet,0.54,0.58,0.6,0.66
"coil, spiral, volute, whorl, helix",0.52,0.58,0.6,0.7
greater swiss mountain dog,0.66,0.68,0.52,0.54
"mailbag, postbag",0.48,0.66,0.62,0.64
reel,0.5,0.46,0.68,0.76
soft-coated wheaten terrier,0.6,0.42,0.66,0.72
syringe,0.54,0.56,0.6,0.7
"titi, titi monkey",0.52,0.56,0.66,0.66
vine snake,0.56,0.52,0.6,0.72
cassette,0.5,0.54,0.68,0.7
"rocking chair, rocker",0.46,0.62,0.64,0.7
"stopwatch, stop watch",0.52,0.62,0.56,0.72
langur,0.62,0.54,0.58,0.68
"maillot, tank suit",0.46,0.62,0.66,0.68
norfolk terrier,0.54,0.6,0.62,0.66
"paddle, boat paddle",0.56,0.62,0.6,0.64
potpie,0.5,0.58,0.66,0.68
"candle, taper, wax light",0.6,0.62,0.56,0.66
"tabby, tabby cat",0.62,0.58,0.62,0.62
"church, church building",0.56,0.62,0.54,0.72
coffeepot,0.56,0.62,0.66,0.6
"drum, membranophone, tympan",0.52,0.58,0.68,0.66
espresso,0.62,0.54,0.64,0.64
"punching bag, punch bag, punching ball, punchball",0.56,0.6,0.64,0.64
"sandbar, sand bar",0.52,0.58,0.66,0.68
sarong,0.54,0.6,0.6,0.7
thimble,0.56,0.6,0.62,0.66
umbrella,0.44,0.58,0.68,0.74
bow,0.62,0.44,0.64,0.76
"horned viper, cerastes, sand viper, horned asp, cerastes cornutus",0.62,0.64,0.54,0.66
nail,0.58,0.58,0.68,0.62
"pencil box, pencil case",0.46,0.6,0.68,0.72
projector,0.58,0.6,0.6,0.68
redbone,0.46,0.58,0.74,0.68
bath towel,0.56,0.64,0.66,0.6
"home theater, home theatre",0.54,0.66,0.6,0.66
"leaf beetle, chrysomelid",0.54,0.58,0.68,0.66
barbershop,0.58,0.64,0.62,0.64
"cinema, movie theater, movie theatre, movie house, picture palace",0.6,0.6,0.62,0.66
flat-coated retriever,0.5,0.6,0.62,0.76
"grasshopper, hopper",0.48,0.6,0.68,0.72
"hognose snake, puff adder, sand viper",0.52,0.62,0.64,0.7
"scale, weighing machine",0.56,0.6,0.56,0.76
shovel,0.48,0.64,0.62,0.74
sock,0.5,0.68,0.66,0.64
"bathing cap, swimming cap",0.58,0.58,0.58,0.76
"green snake, grass snake",0.52,0.74,0.64,0.6
"medicine chest, medicine cabinet",0.6,0.64,0.58,0.68
miniature schnauzer,0.54,0.54,0.68,0.74
rhodesian ridgeback,0.56,0.58,0.64,0.72
wing,0.58,0.64,0.6,0.68
"diamondback, diamondback rattlesnake, crotalus adamanteus",0.54,0.68,0.62,0.66
bookcase,0.58,0.62,0.6,0.72
barbell,0.66,0.6,0.6,0.66
catamaran,0.52,0.64,0.72,0.64
"diaper, nappy, napkin",0.62,0.6,0.66,0.64
miniature pinscher,0.46,0.58,0.7,0.78
whiskey jug,0.66,0.58,0.6,0.68
bib,0.52,0.62,0.68,0.7
"ice lolly, lolly, lollipop, popsicle",0.54,0.56,0.66,0.76
boxer,0.58,0.6,0.68,0.68
gazelle,0.56,0.62,0.64,0.72
"long-horned beetle, longicorn, longicorn beetle",0.56,0.54,0.66,0.78
"pickup, pickup truck",0.5,0.62,0.7,0.72
table lamp,0.58,0.62,0.7,0.64
sussex spaniel,0.62,0.58,0.66,0.7
"cardigan, cardigan welsh corgi",0.44,0.62,0.72,0.78
"otterhound, otter hound",0.7,0.54,0.64,0.68
tripod,0.64,0.54,0.58,0.8
"amphibian, amphibious vehicle",0.66,0.6,0.68,0.64
band aid,0.4,0.66,0.7,0.82
"computer keyboard, keypad",0.54,0.66,0.72,0.66
electric guitar,0.58,0.64,0.58,0.78
"eskimo dog, husky",0.54,0.74,0.64,0.66
holster,0.56,0.64,0.7,0.68
"ibizan hound, ibizan podenco",0.64,0.64,0.6,0.7
matchstick,0.54,0.64,0.68,0.72
modem,0.52,0.64,0.66,0.76
"parallel bars, bars",0.6,0.58,0.74,0.66
"spider web, spider's web",0.6,0.68,0.6,0.7
typewriter keyboard,0.54,0.76,0.68,0.6
"lumbermill, sawmill",0.6,0.62,0.64,0.74
military uniform,0.58,0.66,0.62,0.74
"staffordshire bullterrier, staffordshire bull terrier",0.62,0.58,0.7,0.7
toaster,0.6,0.6,0.68,0.72
"bannister, banister, balustrade, balusters, handrail",0.62,0.62,0.68,0.68
"cucumber, cuke",0.62,0.56,0.7,0.72
hamper,0.56,0.56,0.72,0.76
maillot,0.52,0.58,0.72,0.78
mink,0.52,0.7,0.72,0.66
"pajama, pyjama, pj's, jammies",0.52,0.6,0.74,0.74
toyshop,0.62,0.52,0.72,0.74
irish terrier,0.56,0.6,0.68,0.76
"can opener, tin opener",0.52,0.62,0.72,0.76
crane,0.6,0.64,0.68,0.7
"lynx, catamount",0.56,0.66,0.68,0.72
shower curtain,0.6,0.7,0.62,0.7
"chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour",0.6,0.58,0.72,0.74
"hoopskirt, crinoline",0.58,0.6,0.72,0.74
"oboe, hautboy, hautbois",0.56,0.7,0.68,0.7
"walker hound, walker foxhound",0.62,0.66,0.64,0.72
"wardrobe, closet, press",0.62,0.6,0.72,0.7
suspension bridge,0.56,0.62,0.74,0.72
bolete,0.58,0.6,0.72,0.76
"bonnet, poke bonnet",0.62,0.64,0.66,0.74
"cockroach, roach",0.62,0.64,0.66,0.74
"coyote, prairie wolf, brush wolf, canis latrans",0.66,0.66,0.66,0.68
"grille, radiator grille",0.52,0.72,0.68,0.74
"lighter, light, igniter, ignitor",0.54,0.64,0.7,0.78
"racer, race car, racing car",0.7,0.58,0.64,0.74
"siamang, hylobates syndactylus, symphalangus syndactylus",0.64,0.64,0.68,0.7
toilet seat,0.58,0.64,0.7,0.74
"bow tie, bow-tie, bowtie",0.62,0.64,0.68,0.74
english setter,0.66,0.62,0.66,0.74
fiddler crab,0.62,0.58,0.72,0.76
"grand piano, grand",0.62,0.66,0.68,0.72
"jean, blue jean, denim",0.62,0.62,0.68,0.76
tile roof,0.6,0.62,0.74,0.72
"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",0.6,0.62,0.7,0.76
"zucchini, courgette",0.58,0.64,0.74,0.72
desk,0.72,0.58,0.74,0.64
lakeland terrier,0.56,0.62,0.7,0.8
"sax, saxophone",0.7,0.68,0.62,0.68
yawl,0.66,0.6,0.74,0.68
"bagel, beigel",0.58,0.64,0.7,0.78
face powder,0.56,0.58,0.8,0.76
"lipstick, lip rouge",0.56,0.74,0.68,0.72
milk can,0.6,0.66,0.64,0.8
norwich terrier,0.7,0.6,0.64,0.76
"sea anemone, anemone",0.62,0.58,0.76,0.74
sea snake,0.66,0.58,0.66,0.8
"shetland sheepdog, shetland sheep dog, shetland",0.54,0.6,0.8,0.76
waffle iron,0.56,0.66,0.7,0.78
"ant, emmet, pismire",0.66,0.66,0.7,0.7
border collie,0.7,0.58,0.66,0.78
chest,0.68,0.64,0.7,0.7
"horizontal bar, high bar",0.66,0.64,0.7,0.72
mongoose,0.64,0.64,0.72,0.72
poncho,0.64,0.64,0.74,0.7
"prison, prison house",0.68,0.74,0.72,0.58
"projectile, missile",0.58,0.64,0.74,0.76
stage,0.62,0.64,0.68,0.78
sturgeon,0.58,0.66,0.72,0.76
throne,0.66,0.62,0.7,0.74
"thunder snake, worm snake, carphophis amoenus",0.62,0.74,0.66,0.7
"tiger shark, galeocerdo cuvieri",0.62,0.64,0.7,0.76
"vacuum, vacuum cleaner",0.66,0.72,0.6,0.74
wire-haired fox terrier,0.66,0.62,0.7,0.74
butternut squash,0.54,0.68,0.74,0.76
measuring cup,0.56,0.66,0.7,0.8
"walking stick, walkingstick, stick insect",0.62,0.56,0.76,0.78
maraca,0.58,0.64,0.7,0.82
ski,0.62,0.7,0.78,0.64
"slide rule, slipstick",0.58,0.72,0.7,0.74
"bighorn, bighorn sheep, cimarron, rocky mountain bighorn, rocky mountain sheep, ovis canadensis",0.68,0.56,0.66,0.84
centipede,0.62,0.72,0.64,0.76
folding chair,0.6,0.64,0.7,0.8
"hot pot, hotpot",0.52,0.58,0.76,0.88
"worm fence, snake fence, snake-rail fence, virginia fence",0.72,0.6,0.66,0.76
"african elephant, loxodonta africana",0.68,0.7,0.64,0.74
beaver,0.64,0.7,0.68,0.74
"cliff, drop, drop-off",0.74,0.66,0.64,0.72
"loggerhead, loggerhead turtle, caretta caretta",0.62,0.62,0.78,0.74
mortarboard,0.64,0.72,0.64,0.76
nipple,0.64,0.66,0.7,0.76
padlock,0.6,0.7,0.76,0.7
partridge,0.68,0.62,0.64,0.82
"sloth bear, melursus ursinus, ursus ursinus",0.62,0.64,0.74,0.76
"electric ray, crampfish, numbfish, torpedo",0.66,0.66,0.8,0.64
"sea cucumber, holothurian",0.64,0.7,0.72,0.72
